group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,0,0.406258393,1.723065249,-3.140287567,3.136452944,-0.292110302,15.68325986,-313.9963651,314.0078649,105.3803552,98.99471145,0.511101109,596.9912341,0.163461538,1.413529412
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,1,0.355986555,1.233824431,-2.669180702,1.657455906,-0.14284545,0.436999558,-3.101860802,0.849530043,38.94337016,22.90921038,1.974566514,175.6334202,0.043269231,1.146666667
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,2,0.043982656,1.571972669,-3.123951706,3.070018179,1.128947353,11.38355392,-312.1490076,6.014905525,194.5269929,121.9544394,5.862393915,560.6703692,0.110576923,0.668695652
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,3,-0.041234885,1.576956295,-3.140475787,3.140373062,-0.021374838,14.26886719,-313.7895158,312.7675495,113.1787799,88.33594942,2.801871935,533.2972041,0.139423077,2.000689655
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,4,-0.001845031,1.710295911,-3.122716494,3.138936208,-0.110249558,12.24460581,-5.567275421,312.6402649,184.6278007,133.0202513,2.926172761,635.7411084,0.067307692,1.89
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,5,0.637523304,1.634272582,-3.13853017,3.135667092,0.124595831,25.62214445,-313.1527726,313.6142224,190.091218,123.3980311,3.536941566,572.6075825,0.043269231,1.997777778
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,6,-1.054470618,1.40982781,-3.120926369,3.094099386,0.951519198,24.37053196,-3.925086295,311.8560476,102.6806663,64.45567444,7.507358652,349.9078276,0.038461538,0.82
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,7,-0.016298253,1.684923955,-3.134332745,3.140968375,-0.039879115,16.05520748,-6.364304399,313.4946647,206.917375,130.3257992,8.863429689,556.4517144,0.033653846,2.197142857
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,8,1.363850007,1.927709121,-3.132004447,3.119436618,0.2295457,25.02542952,-311.6346868,312.9162884,135.4028462,108.2022448,3.058226361,517.8280117,0.028846154,2.073333333
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,9,0.001688295,1.674173706,-3.141349816,3.124076833,0.003864904,22.58529246,-5.255407568,312.9669771,168.9445788,112.0550248,8.176451887,574.162476,0.057692308,0.958333333
