group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,0,0.221582341,1.725189449,-3.139568137,3.136400688,0.474593532,14.65982201,-313.5239705,313.9199205,89.00206083,96.8959562,0.810496235,560.8206142,0.15536105,1.286478873
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,1,-0.363954029,1.766880663,-3.130443274,3.134794793,-0.284076984,14.42760649,-312.5223319,312.9509249,77.29571944,58.17903837,1.568747229,480.8522699,0.140043764,1.1746875
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,2,-0.437061106,1.78236064,-3.14150725,3.136215622,-0.190254201,15.02516722,-314.0888056,314.0334785,39.68061048,41.20823916,0.670539123,446.5669434,0.098468271,0.970222222
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,3,-0.062838455,1.606911936,-3.140217367,3.113098276,0.84487256,15.64934612,-310.7605275,7.283047351,160.560025,120.2029038,0.58698011,624.2066266,0.085339168,0.819487179
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,4,-0.611796142,1.605842596,-3.137994893,3.124738024,0.0633625,21.15816732,-8.317508677,313.6419766,188.0529286,126.5142672,5.50138037,593.0984459,0.061269147,0.778571429
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,5,0.729982265,2.018643825,-3.139679315,3.139955866,-0.764746284,20.88916512,-313.9244136,6.080269853,198.0357205,136.1969257,1.338783911,576.3274768,0.032822757,1.797333333
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,6,-0.921598072,1.63581558,-3.130258244,3.14067261,-0.175813178,16.03021194,-3.794992018,312.200582,83.78124694,46.29959916,3.677820411,290.8211558,0.028446389,1.176923077
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,7,0.248707566,1.464908224,-3.134708397,3.141440334,-0.538000995,17.21166576,-312.3686759,311.9458594,203.2368528,120.21434,3.538347743,534.6176096,0.030634573,1.891428571
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,8,-0.158692968,1.46459353,-3.136199296,3.048298748,-0.208896345,12.27544203,-4.986845149,313.0196967,136.9552658,107.3984271,1.607580213,566.1267887,0.030634573,1.874285714
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,9,0.50371,1.733631274,-3.136939716,3.138507853,0.824812618,23.12985878,-7.369536518,313.6681198,167.5400159,113.4674212,1.510817764,556.8724552,0.039387309,1.62
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,10,0.331430537,2.68305682,-3.116542444,3.120078093,3.676544483,39.78103515,-3.909830024,311.6988017,290.5001409,73.49925448,139.323355,456.9905157,0.002188184,1.24
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,11,0.04562845,2.284315608,-3.1405837,3.135474665,-0.825436378,29.78355154,-314.1542807,314.0164203,154.4345388,110.7009909,1.460585882,521.2668251,0.030634573,2.365714286
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,12,0.247409546,1.571189531,-1.987799839,2.736967133,1.153127947,1.399278922,-2.296699894,4.385557958,187.9429324,91.56076361,7.187579086,479.9372706,0.021881838,0.884
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,13,-1.140441139,1.072670439,-3.109274184,1.769248646,0.45493823,10.59460147,-312.7007584,3.648745609,166.0562631,91.25270821,3.29803746,425.7945419,0.037199125,1.042352941
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,14,-1.077442539,1.599183477,-3.121621693,3.135027361,-0.043559517,12.59566492,-2.64873583,312.2255596,121.555276,80.8968202,2.223386948,388.01883,0.015317287,1.768571429
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,15,0.851768249,1.426554162,-1.541891857,3.022854675,0.585126953,1.110215862,-2.543312214,3.789166725,292.2537758,125.1578623,12.31265548,581.2370435,0.015317287,1.342857143
