group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,3CT_trial_10,141,0,0.129261517,1.788696375,-3.139254787,3.138250304,0.1913102,15.87613176,-313.9497003,313.965383,55.6119938,43.15553656,0.641767329,511.0735708,0.131284916,0.996595745
control,3CT_trial_10,141,1,0.037401624,1.83020336,-3.135957966,2.87867758,0.009483671,0.290724762,-2.177050685,2.133013189,36.42220691,19.84247804,0.947151816,145.8617563,0.12849162,1.280434783
control,3CT_trial_10,141,2,-0.705504088,1.733508753,-3.109932591,1.791925084,-0.062873955,0.912884829,-3.011556755,2.247975622,232.3712842,134.1133043,9.046061268,768.449827,0.047486034,0.462352941
control,3CT_trial_10,141,3,0.33623556,1.42208139,-1.830060693,2.462426959,0.572499586,1.93537973,-14.01459599,3.007472691,242.2392968,140.7209068,18.60030318,561.9385628,0.036312849,0.166153846
control,3CT_trial_10,141,4,-0.092867129,1.788932439,-3.132843582,3.136121516,-0.026233878,16.81281919,-311.8018519,313.1797149,90.18820882,63.66192058,2.204557063,393.1781894,0.047486034,1.227058824
control,3CT_trial_10,141,5,-0.807666873,1.964152409,-3.140222581,3.139642224,-0.375605639,16.71637056,-4.346621256,313.3584549,166.7852739,120.0239553,5.86484036,548.4479369,0.058659218,1.006666667
control,3CT_trial_10,141,6,0.025305129,1.567472383,-3.125218641,3.140574351,0.863610728,14.42972252,-313.6534555,313.2735708,139.1457649,98.84424753,4.062744389,561.8951129,0.081005587,0.984827586
control,3CT_trial_10,141,7,-1.546144081,1.227335146,-2.980896301,1.517632964,-0.050247885,1.037339693,-2.886941228,3.066614076,92.89525374,71.19603576,3.060134052,425.7592414,0.027932961,0.74
control,3CT_trial_10,141,9,1.013436853,1.292692845,-3.137703154,3.126672599,-0.466352851,13.37205727,-3.708081308,312.8170723,150.8494225,106.6334226,3.133241364,509.7140134,0.025139665,1.233333333
control,3CT_trial_10,141,10,-0.211072458,2.172361942,-3.135401048,3.134615102,-1.883389632,28.74248614,-312.385709,3.814868208,183.6336685,125.7538607,5.999632003,556.4755052,0.030726257,0.641818182
control,3CT_trial_10,141,11,1.029648733,1.57211992,-3.110350863,3.088825637,0.720009202,15.4504209,-2.773430078,312.4642936,100.3763876,77.5338527,6.42719773,481.2616259,0.019553073,1.171428571
control,3CT_trial_10,141,12,-0.46294405,1.048084738,-1.450233185,2.706331912,-0.413043974,1.040374426,-2.777021133,5.506463473,87.10234171,69.11269536,8.498272836,324.3377618,0.01396648,0.676
control,3CT_trial_10,141,13,-0.031757984,1.303343357,-1.823075026,1.17332638,0.351175634,1.943647584,-2.51221782,3.495606431,401.9676312,139.8418177,130.132595,651.985363,0.025139665,0.077777778
control,3CT_trial_10,141,14,0.837153873,0.901087341,-1.031621233,1.664539625,-0.109645549,0.764379394,-0.842296518,1.653899915,544.2573331,69.10821134,399.994932,710.1624424,0.01396648,0.088
control,3CT_trial_10,141,15,-0.157287044,1.057024096,-0.914526048,2.593411227,0.133351662,0.757388184,-1.168760082,2.099908805,98.85650492,82.22221306,4.915026046,386.6759305,0.011173184,0.995
control,3CT_trial_10,141,16,-0.79169807,1.473401999,-2.99784062,3.001814684,-0.573301454,6.137310498,-64.92128214,7.288291964,57.77713257,39.12024653,6.518952595,221.4315591,0.025139665,0.373333333
control,3CT_trial_10,141,17,-2.151444687,0.707064296,-3.049143636,-0.453478497,-6.099489246,45.28038458,-309.6620033,4.484298984,102.4494236,64.49425372,4.78202402,268.3373044,0.016759777,0.156666667
control,3CT_trial_10,141,18,-0.589606258,1.340754981,-2.954781405,1.129736984,-0.762822016,1.865550654,-8.614715601,2.639418951,158.2735169,79.63106532,13.09541521,417.0855001,0.01396648,0.74
control,3CT_trial_10,141,19,0.267150633,1.737920084,-2.54409276,2.691729713,-1.917137085,2.261065763,-5.835325263,2.776806943,150.9322987,99.69067954,5.760565558,379.9589701,0.011173184,0.445
control,3CT_trial_10,141,20,-1.188555471,1.783544842,-2.88826405,1.643275008,1.320390676,2.971396474,-3.735895885,7.593718444,161.8885938,93.27901094,48.95323789,480.9815603,0.01396648,0.18
control,3CT_trial_10,141,21,-0.219889451,1.451542494,-2.534055059,1.371552907,0.977097811,1.637586644,-1.149853549,4.508288553,319.994719,114.3561399,118.4302268,579.8065185,0.01396648,0.136
control,3CT_trial_10,141,22,0.185830821,1.289787634,-2.407714008,2.533478864,-0.586363884,1.319275672,-3.91729448,5.3576185,79.85659682,54.33582724,5.981577407,321.7366395,0.033519553,1.018333333
control,3CT_trial_10,141,23,-0.356694154,1.837434765,-1.796411487,2.675541561,2.903034154,0.960216372,1.306480962,4.362231268,80.85415688,52.81629416,16.85748693,238.7955552,0.005586592,0.19
control,3CT_trial_10,141,24,-0.77337554,1.972147797,-2.876077745,2.931627965,-2.577959907,3.766040727,-9.575048509,3.777020595,122.4449273,89.74049347,13.78348115,305.4077439,0.011173184,0.11
control,3CT_trial_10,141,25,-0.048354146,2.321869901,-3.126191884,3.13892413,3.85899539,51.69938836,-313.2269676,313.7217901,91.80866064,57.99753173,5.922363206,290.6569426,0.008379888,0.946666667
control,3CT_trial_10,141,26,0.368576438,1.297436362,-2.489764069,2.235142572,0.101279015,1.422732594,-4.620152794,2.93184364,86.84418255,59.61532786,6.446513968,322.5038524,0.022346369,0.5975
