group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,NOR_trial_1,141,0,0.264105443,1.69149591,-3.139220845,3.14087276,0.145273285,14.08925659,-313.7856277,312.9267879,102.7636456,85.30092825,2.236599179,524.0610699,0.162790698,1.702285714
control,NOR_trial_1,141,1,0.721123354,1.386612314,-2.979703948,3.121886546,-0.155426472,0.781493178,-3.524603958,2.356459129,116.1876977,120.2173657,2.360771561,588.0070512,0.139534884,1.197333333
control,NOR_trial_1,141,2,-0.076216037,1.53790853,-2.863751677,2.732957911,-0.039987869,0.442321138,-2.256602352,2.736615739,108.4640554,139.9734355,0.679267575,530.680281,0.065116279,0.77
control,NOR_trial_1,141,3,1.290012886,1.364581192,-3.102696721,3.112184645,0.11390421,20.74892319,-6.395699138,310.7417433,250.6729236,136.3031361,0.635483511,691.5612366,0.074418605,0.84875
control,NOR_trial_1,141,4,-0.002332299,1.385980337,-2.981954368,2.830860512,1.451442927,1.306275692,-6.041619224,5.817679017,211.5857176,135.9253785,6.823426381,628.9592136,0.060465116,0.921538462
control,NOR_trial_1,141,5,0.106709866,1.811761674,-3.131854988,3.084214387,-0.094862994,13.61956772,-311.6705193,311.1377477,119.6299735,88.1293893,1.791205707,490.3234505,0.037209302,2.6375
control,NOR_trial_1,141,6,0.442053578,1.759458786,-3.13575014,3.140344144,-0.001657431,22.2828425,-313.1607291,313.0612324,124.8267425,92.47958164,3.2539861,447.3837713,0.069767442,1.578666667
control,NOR_trial_1,141,7,-0.501878916,1.66126398,-3.139531361,3.139671491,-0.377597226,11.89635884,-6.923006639,313.3914782,181.9891186,122.083985,2.357886607,646.7560807,0.074418605,1.7675
control,NOR_trial_1,141,8,-0.366357995,2.033457112,-3.136827308,3.140872775,0.230381345,30.22996189,-313.0623725,313.5920845,288.6610804,145.337017,7.987376375,665.7307666,0.037209302,1.345
control,NOR_trial_1,141,9,-0.800404858,1.131045741,-3.124648476,3.133700846,-0.202977167,12.95146624,-4.639887018,311.98314,158.266198,119.1897037,1.66401195,592.7325027,0.065116279,1.671428571
