group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,OFT_trial_1,129,0,-0.245235855,1.729308098,-3.140602162,3.138485187,-0.176260807,12.4683016,-312.3862701,313.2334033,76.44294911,58.56620574,1.390925819,432.9988297,0.146039604,1.283728814
control,OFT_trial_1,129,1,-0.287911488,1.706396429,-3.140486155,3.140545946,0.116012322,13.89058055,-314.0211387,313.9711415,79.28906074,95.81946896,1.172601111,539.9105049,0.111386139,1.363111111
control,OFT_trial_1,129,2,-0.511665923,1.488127088,-3.138187996,3.131135126,0.211322715,11.92331869,-313.4316093,313.1108198,122.3870795,105.5248234,2.040631399,613.5564884,0.106435644,1.93255814
control,OFT_trial_1,129,3,-0.05636146,1.759400606,-3.140481406,3.138363127,-0.041378965,11.03334985,-313.9945637,313.2575876,39.57772216,38.21198244,0.340183127,368.9827065,0.081683168,0.980606061
control,OFT_trial_1,129,4,-0.645008456,1.592637948,-3.125561138,3.128715496,-0.374247296,19.64903878,-5.867925694,312.6691473,162.0355948,115.3472686,2.683943411,617.6951722,0.074257426,0.676
control,OFT_trial_1,129,5,-0.363869874,1.45719109,-3.139606218,3.136946203,0.356393344,15.04920398,-312.0445777,7.356270322,171.4406321,111.0343016,3.552216297,639.4997856,0.079207921,1.350625
control,OFT_trial_1,129,6,0.047601581,1.54742997,-3.131759945,3.136210211,0.298318296,19.2357514,-313.2676914,7.054183444,116.221599,97.96625094,1.855671026,625.3151758,0.04950495,1.328
control,OFT_trial_1,129,7,-0.846749595,1.704030939,-3.10182691,3.122830481,0.134718789,19.97766136,-4.562726881,312.3242271,86.27769422,52.38987226,3.114812927,408.4846781,0.022277228,1.093333333
control,OFT_trial_1,129,8,-0.602692213,1.322868848,-2.688550576,2.471595441,-0.645191352,1.076102679,-4.20454702,1.411621155,181.3886768,98.04446671,8.224672756,446.6441668,0.02970297,0.776666667
control,OFT_trial_1,129,9,0.530841384,2.192157597,-3.13750759,3.139135954,-0.444773216,23.86693568,-313.9866224,312.1827698,203.6625492,137.0395446,3.439688182,569.8089893,0.032178218,2.115384615
control,OFT_trial_1,129,10,0.222762968,1.43936901,-3.106733058,3.130798048,-0.295425361,15.59872614,-7.389649728,312.5262508,186.3387826,116.2278411,2.443691045,493.1745806,0.03960396,1.50625
control,OFT_trial_1,129,11,0.982246772,2.054837688,-3.141302069,3.141216186,-0.081866188,26.14893422,-313.8365152,313.7222017,127.5115176,104.9082091,1.828327985,573.9589869,0.04950495,3.429
