syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
4,98.1833,310.62,1.9617,-3.5096,2.5201,-0.8213,-1.9352,3.4345
4,97.6314,313.475,2.0096,-1.9376,0.5694,-0.6668,0.2445,2.086
4,97.8051,317.6153,1.8749,-2.0472,0.9775,0.3977,-1.1968,0.0937
4,96.7091,323.0757,1.8901,-1.757,0.8133,0.4314,-0.8312,0.298
4,95.9243,328.3247,1.8484,-1.6286,0.4541,0.6056,-1.3981,-0.0673
4,96.0298,334.3972,1.831,-1.7074,0.1439,0.0657,-0.8987,0.0075
4,95.2689,342.6313,1.7972,-1.7731,-0.3054,0.2257,-1.2271,-0.0995
4,95.4885,350.0491,1.7905,-1.5534,-0.5898,0.0132,-1.1418,0.0481
4,95.9189,357.4454,1.7116,-1.5204,-0.541,0.2795,-1.1372,-0.0256
4,96.2223,364.4231,1.7007,-1.44,-0.5892,0.2059,-1.1128,0.078
4,97.4308,370.6163,1.6444,-1.4355,-0.6118,0.1214,-1.1655,-0.1207
4,96.7826,377.0214,1.6411,-1.5616,-0.6299,-0.1383,-0.9904,0.0068
4,97.064,382.0407,1.6152,-1.5764,-0.3763,-0.2178,-0.9764,0.1089
4,97.7828,388.2756,1.522,-1.4513,0.0311,-0.216,-0.9748,0.0104
4,98.6949,393.6368,1.5011,-1.6251,0.1974,-0.3008,-0.5795,-0.419
4,97.7242,397.3947,1.5,-1.7584,0.3075,-0.4708,-0.9229,-0.1781
4,98.3791,402.5635,1.4635,-1.9137,0.2308,-0.5714,-0.6365,-0.4984
4,99.0091,407.218,1.4998,-1.8394,0.3161,-0.0447,-0.7155,-0.6234
4,99.6118,412.7196,1.4718,-1.6698,0.2304,-0.1697,-0.4972,-0.7791
4,99.0961,417.7094,1.4839,-1.606,0.2412,-0.0747,-0.5405,-0.6176
4,98.9555,422.4799,1.4695,-1.663,0.395,-0.2664,-0.6032,-0.4436
4,100.243,424.8134,1.5322,-1.7146,0.5068,-0.2323,-0.7578,-0.3048
4,100.6658,426.2201,1.4077,-1.6954,0.5311,-0.5686,-0.5852,-0.5219
4,100.7671,425.9253,1.3858,-1.4635,0.6898,-0.7372,-0.4835,-0.2339
