group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,0,-0.104143966,1.641411027,-3.132471819,3.13644601,0.485479803,12.46293934,-312.1666949,313.1751767,102.8405765,80.32734653,0.10209605,541.1004879,0.102857143,1.412222222
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,1,-0.075265807,1.716442722,-3.141432132,3.080622664,-0.011378578,0.395088322,-2.413827313,3.130466462,41.72957712,26.21335749,1.30317476,281.7542252,0.12,1.084761905
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,2,-0.09295582,1.765186243,-2.557408431,2.544399106,0.131221996,2.743282341,-24.20471709,2.6824885,250.3906278,139.5173866,25.72190213,715.3588268,0.04,0.174285714
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,3,-1.296024532,1.532270595,-3.140827034,3.140204867,-0.759404377,11.65804894,-4.129664755,310.3616719,188.8878516,118.4629145,5.76632873,564.2251021,0.051428571,0.805555556
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,4,0.204551124,1.759251253,-3.127011572,3.14085507,0.024131795,16.01762798,-4.085409596,313.4415367,100.5199473,84.23677106,2.059510512,570.7135438,0.08,1.099285714
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,5,-0.194971364,2.137435339,-3.1367066,3.135335559,-1.106162453,24.80658442,-312.2199262,3.891986383,190.7595946,125.627539,3.324384561,560.3053132,0.04,0.678571429
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,6,0.708117263,1.597327452,-3.103556544,3.088318389,1.141846157,19.74860556,-1.529131724,312.594075,95.55342329,50.87989777,4.552521856,242.9826649,0.011428571,1.255
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,7,1.049760468,0.998320632,-0.791158257,2.805216761,-1.100809081,1.113617878,-3.782268748,2.072912923,158.8406897,121.4597078,8.045014389,762.3725118,0.031428571,0.983636364
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,8,0.579543867,1.932548724,-3.137443647,3.140617573,-0.645582213,13.98483613,-314.0569223,1.979877699,54.78858095,35.45700804,0,212.4099092,0.028571429,1.01
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,9,0.073902805,0.832542005,-1.471905337,1.245118563,0.258234625,1.521806198,-2.206746868,3.910859732,146.1950685,72.86826822,2.99860857,321.0840932,0.011428571,0.56
