group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,0,-0.24367609,1.549168836,-3.140738107,3.131405231,0.099224524,6.134801809,-4.399755666,313.6054039,58.33794856,49.34518679,1.136613684,477.9005774,0.183399209,0.452327586
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,1,-0.374944487,1.628077236,-3.141051785,3.138817309,0.060931941,5.055643124,-3.284487445,314.0590313,39.91246212,25.65462348,0.189726368,319.1927982,0.176284585,0.692825112
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,2,-0.347007436,1.568331306,-3.121435181,3.131446968,-0.335162948,13.15844373,-9.106898651,313.4827922,94.44758031,66.72647548,1.512304181,493.7454176,0.12173913,0.222597403
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,3,-0.172155435,1.710757036,-3.12975395,3.136264664,0.048555424,16.29207009,-313.0170012,7.33405251,91.82123797,64.04382194,0.561852385,433.1286437,0.118577075,0.247066667
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,4,-0.537992921,1.777390509,-3.138025829,3.139997592,-0.568293683,12.90823669,-313.6330057,31.18320014,54.23663468,37.88051296,0,249.2792558,0.060869565,0.311168831
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,5,0.159189818,1.544244873,-3.128592603,3.132223585,-0.009894629,15.46587267,-313.4866319,313.4093566,107.5916546,66.24674258,1.505802208,393.2318638,0.048221344,0.53704918
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,6,-0.436007082,1.598266182,-3.101181803,3.139607943,3.073012017,29.67938015,-10.01958311,312.6771407,107.7279072,56.36686713,5.101469702,347.1595448,0.02687747,0.130588235
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,7,-0.709750607,1.623198217,-3.133954989,3.138344911,-0.169208964,6.882853265,-313.0668739,1.490968948,105.8263998,95.77249306,1.275379501,576.7050361,0.045849802,0.716896552
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,8,-0.747305428,1.578413523,-3.094043103,3.083128578,-0.362414092,10.4391526,-311.8546315,6.58211322,188.7139065,112.4827937,6.127004204,507.5204801,0.030039526,0.474210526
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,9,-0.846916501,1.587715986,-2.774390349,1.895027679,0.10051621,1.073800343,-6.138711873,3.971464685,170.6298784,117.5458104,5.122087467,483.7162739,0.025296443,0.395
