group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,0,0.237063141,1.578354303,-3.140468012,3.137421757,0.029834791,11.95432056,-313.8088004,312.6914191,118.1752012,97.98504945,2.085395256,537.5342811,0.207070707,1.683902439
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,1,0.073126037,1.505848623,-2.581337308,3.113143036,-0.060551281,0.813399315,-3.492692579,4.065759257,96.20508818,105.3392597,1.838695385,584.4143904,0.111111111,1.667272727
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,2,-0.012543475,1.501025836,-2.862159256,2.734370547,-0.034332611,0.403736391,-2.516195754,0.845865125,98.09641857,130.5292959,1.433045261,500.1977191,0.045454545,0.897777778
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,3,0.858275352,1.65861693,-3.13006929,3.140985129,0.812589689,26.22932024,-6.460350224,312.7508571,249.2351729,150.2649942,10.30595927,685.6845216,0.085858586,0.667058824
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,4,0.290467524,1.640914864,-3.073234008,2.958080701,1.232899608,1.407377806,-2.793769301,5.895429693,171.9322765,112.2920317,4.20920363,585.8931559,0.070707071,1.102857143
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,5,0.018288866,1.712758356,-3.139631256,3.137930774,0.251730477,16.4764945,-311.6923254,313.0713679,132.9320459,101.8121245,2.404772552,566.7964899,0.085858586,2.122352941
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,6,0.305007006,1.763398092,-3.132195147,3.134818055,-0.096710567,23.05963863,-313.165625,312.8378153,145.2153159,113.2314908,2.548508382,493.9646526,0.050505051,1.842
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,7,-0.099986747,1.802418296,-3.141064265,3.139681256,-0.06928024,17.65401869,-312.6841583,313.927539,191.140235,130.3092545,2.57191526,629.3022,0.070707071,2.71
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,8,-0.584961836,2.021143828,-3.135574636,3.139175021,-0.691862784,30.46063132,-313.5200355,313.4971339,342.3533205,118.5700252,49.57788361,664.2162139,0.04040404,1.0625
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,9,-0.270980866,1.40815905,-3.132479998,3.127567417,-0.114299507,13.96354648,-4.299752601,311.9687917,140.8537111,97.87226918,4.356081987,527.190393,0.065656566,1.546153846
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,10,1.082652382,2.062197501,-3.1374193,3.133795519,-1.108246038,26.44032051,-313.0301177,9.680009503,241.219071,118.6649996,8.755654127,554.2780082,0.025252525,1.692
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,11,-0.070926473,0.621145888,-0.966968914,0.937259227,-0.56671974,0.672805182,-2.245690737,1.047848283,123.0691447,76.05532391,3.521619892,311.704037,0.005050505,3.38
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,12,-0.869556402,1.721230384,-3.116745629,3.130563744,-3.986291939,39.86363834,-311.6153283,4.04041658,158.7083709,88.82697831,14.73279943,490.4246454,0.03030303,0.606666667
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,13,-0.283335578,1.71327487,-2.75905771,1.528200221,0.22266253,1.750527492,-4.946649115,3.973032917,148.1292913,107.4485733,0,400.5989072,0.015151515,0.873333333
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,14,1.179574508,1.844303776,-3.135150375,3.114292249,0.455452972,25.03492948,-312.0170004,312.1122502,160.0900711,107.0694546,6.127849738,456.685418,0.02020202,1.565
