group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,0,-0.171577335,1.707440085,-3.140071806,3.137402272,-0.198764491,15.63439593,-312.6887013,313.7720549,74.8723382,51.84009379,1.483828944,470.8383985,0.167058824,1.130140845
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,1,-0.178906949,1.714846942,-3.141164468,3.141525675,0.068339295,16.39086127,-314.1140927,314.122959,78.34599355,93.5054646,1.082374577,507.8931381,0.112941176,1.375833333
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,2,-0.400281484,1.58213829,-3.13547384,3.139663173,0.140295141,11.04582855,-313.4413307,313.4693376,118.8734771,105.9043817,0.616800571,579.3926446,0.129411765,2.057090909
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,3,-0.461219129,1.8869872,-3.138815639,3.141525703,-0.023494892,16.2771991,-314.0496937,313.2882774,41.15516057,51.62856889,0.778673279,466.1892723,0.070588235,0.990666667
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,4,-0.736770103,1.4182784,-3.140030253,3.140669976,-0.456266072,15.83443495,-5.80127848,312.7183501,174.0167437,112.7790844,4.179309975,555.6352923,0.08,0.92
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,5,-0.098635163,1.461769244,-3.137392544,3.123869462,0.900393282,10.42632756,-309.5519659,7.407134818,179.4551696,110.5536884,2.440138106,639.6973522,0.072941176,1.169032258
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,6,0.069847413,1.650291464,-3.139363983,3.139887226,-0.089791761,20.95105999,-313.2401915,7.152408708,126.5107224,104.141734,3.735584495,612.4064398,0.051764706,1.622727273
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,7,-0.704397528,1.851340448,-3.071703114,3.138607596,0.127724731,21.07751865,-4.110725472,312.1340483,87.37217983,44.55019574,8.7337868,262.624793,0.018823529,1.105
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,8,-0.377543758,1.54954456,-2.697939435,2.422795487,-0.362756072,0.987164175,-3.934546295,1.700388387,201.969014,116.4628242,4.225459283,477.5258058,0.018823529,0.6225
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,9,0.756713134,2.170305677,-3.141212698,3.140050016,-0.513343483,25.72782363,-314.0297729,313.0018033,200.6943794,131.9709175,2.654825402,563.2281257,0.023529412,2.37
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,10,0.126106635,1.694690009,-3.138964119,3.131498896,-0.167443794,18.71587865,-313.4553596,312.48939,177.8511942,118.5961866,3.442631841,529.6672482,0.044705882,2.06
